COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP,MR,SPI,HDS,WLHS,ARI,DPI,TRI
Qatar,33.2,0.1,0.848,62087.97413,2938000,0,614,245855,2881.053,0.249740701,85.33511879,Developed,Extreme High,1019.766037,1438.963748,1229.364893
Romania,41.1,23.8,0.816,12889.80961,10223000,16128000,57935,1795418,19237.691,3.226825174,93.32814421,Developed,Moderate,531.4047304,838.3542495,684.87949
Russia,39.6,12.6,0.824,10126.72,0,0,292891,10103160,145934.462,2.899003876,69.23080307,Developed,Moderate,1843.111899,578.4580615,1210.78498
Rwanda,19,38.2,0.536,820.1492886,1377000,0,1344,100888,12952.218,1.332170327,7.789245054,Developing,Extreme Low,106.3138375,68.48091912,87.39737832
South Korea,41.8,16.3,0.906,31489.12,0,0,4518,544117,51269.185,0.830336123,10.61294421,Developed,Moderate High,10430.24086,935.7345437,5682.987701
Saint Kitts and Nevis,35,21.8,0.777,17453,0,0,28,2797,53.199,1.001072578,52.57617624,Developing,Moderate,1843.111899,578.4580615,1210.78498
San Marino,44.4,6.7,0.961,47731.20854,2000000,0,94,6600,33.931,1.424242424,194.5123928,Developed,Extreme High,58943.14933,1438.963748,30191.05654
Sao Tome and Principe,18.4,66.7,0.609,1987.579702,28899.99962,0,57,3733,219.159,1.526922047,17.03329546,Developing,Extreme Low,131.867729,68.48091912,100.1743241
Saudi Arabia,27.5,12.7,0.857,23139.79798,20887000,27618000,8857,550457,34813.871,1.609026681,15.81142758,Developed,Moderate,599.9620094,793.3044849,696.6332471
Senegal,18.8,46.7,0.514,1430.148259,1219000,0,1886,74105,16743.927,2.545037447,4.425783748,Developing,Extreme Low,72.8025152,68.48091912,70.64171716
Serbia,42.6,23.2,0.799,7411.558649,1281000,0,12275,1278120,8737.371,0.960394955,146.281988,Developing,Moderate,146.6116066,578.4580615,362.5348341
Seychelles,35.4,25.3,0.801,16198.51748,333000,68000,129,23806,98.347,0.541880198,242.0612728,Developed,Moderate,3385.970086,691.4293268,2038.699706
Sierra Leone,19,56.8,0.438,527.5341745,60000,92000,121,6434,7976.983,1.880634131,0.806570604,Underdeveloped,Extreme Low,7.521640701,11.53318241,9.527411554
Singapore,34.6,10,0.935,65640.70795,16403000,9474000,807,274617,5850.342,0.293863818,46.94033272,Developed,Extreme High,2803.767711,1619.392507,2211.580109
Slovakia,40.5,11.9,0.857,19156.89,0,0,15621,788772,5459.642,1.980420197,144.473209,Developed,Moderate,1843.111899,578.4580615,1210.78498
Slovenia,44.5,12,0.902,25942.95477,3397000,5408000,5444,443873,2078.938,1.226476943,213.5094938,Developed,Moderate High,1634.007363,2601.328178,2117.667771
Somalia,18.1,73,0.285,320.0381483,0,0,1333,23074,15893.222,5.777065095,1.451813861,Underdeveloped,Extreme Low,67.16277367,68.48091912,67.8218464
South Africa,27.1,55.5,0.705,6001.401121,15121000,0,90226,3231031,59308.69,2.792483266,54.47820547,Developing,Moderate,254.9542065,578.4580615,416.706134
South Sudan,17.3,76.4,0.413,1119.65,0,0,133,12969,11193.725,1.0255224,1.158595552,Underdeveloped,Extreme Low,67.16277367,68.48091912,67.8218464
Spain,42.7,20.7,0.893,29555.3157,115561000,18277000,88619,5393268,46754.778,1.643141042,115.352232,Developed,Moderate High,2471.640439,390.9119192,1431.276179
Sri Lanka,32.8,4.1,0.78,3851.56099,2168000,1448000,14677,576966,21413.249,2.543824073,26.94434647,Developing,Low,101.2457288,67.62168599,84.43370737
Sudan,19.9,46.5,0.507,753.2821741,800000,0,3252,45112,43849.26,7.208724951,1.028797293,Developing,Extreme Low,18.24432157,68.48091912,43.36262034
Suriname,29.8,47,0.724,7261.16561,257000,0,1179,51289,586.632,2.298738521,87.42959811,Developing,Moderate,438.0940692,578.4580615,508.2760653
Sweden,41.2,17.1,0.937,51939.42974,6782000,0,15185,1242733,10099.265,1.221903659,123.051826,Developed,Extreme High,671.5340176,1438.963748,1055.248883
Switzerland,42.4,16,0.946,85334.51946,10402000,21536000,11905,1149097,8654.622,1.036030901,132.7726387,Developed,Extreme High,1201.901134,2488.381353,1845.141244
Syria,24.3,35.2,0.549,2032,0,0,2828,49493,17500.658,5.713939345,2.828065093,Developing,Low,461.8031789,376.6641062,419.2336425
Taiwan,40.7,1.3,0.916,32787,0,0,849,16759,23816.775,5.065934722,0.703663699,Developed,Moderate High,10430.24086,935.7345437,5682.987701
Tajikistan,24.5,26.3,0.656,890.5444024,344000,22000,124,17095,9537.645,0.725358292,1.792371178,Developing,Extreme Low,36.06760369,2.306649073,19.18712638
Tanzania,17.7,26.4,0.528,1085.884861,1284000,0,734,26483,59734.218,2.771589321,0.443347229,Developing,Extreme Low,21.49521736,68.48091912,44.98806824
Thailand,37.7,9.9,0.765,7817.011522,32530000,8204000,21284,2181960,69799.978,0.975453262,31.26018177,Developing,Moderate,466.0459922,117.5358537,291.7909229
